codes,display_text,meaning,possible_cause,recommended_action,severity,icon,manual_page
ID000,Outside temperature warning,Outside temperature warning,The air temperature measured at the vehicle is lower than approximately 3 C.,"Ride carefully and think well ahead. Take extra care in low temperatures, especially on bridges and shaded roads.",warning,snowflake.jpg,40
IDABS,ABS self-diagnosis not completed,ABS self-diagnosis not completed,The ABS function is not available because self-diagnosis did not complete. The motorcycle has to move forward a few metres for the wheel sensors to be tested.,Pull away slowly. ABS is not available until self-diagnosis has completed.,info,abs.jpg,40
IDDTC,DTC self-diagnosis not completed,DTC self-diagnosis not completed,The DTC function is not available because self-diagnosis did not complete. The motorcycle has to reach a minimum speed with the engine running for the wheel sensors to be checked.,Pull away slowly. DTC is not available until self-diagnosis has completed.,info,dtc.jpg,40
IDDTC2,DTC intervention,DTC intervention,DTC has detected instability at the rear wheel and has intervened to reduce torque.,You can continue to ride. Ride carefully and think well ahead.,info,dtc.jpg,41
ID030,EWS error,"Fault, electronic immobiliser","The vehicle key being used is not authorised for starting, or communication between vehicle key and electrical machine electronics is disrupted.",Remove other vehicle keys from the same ring. Use the second vehicle key. Have defective vehicle keys replaced by an authorised BMW Motorrad retailer.,warning,warning.jpg,41
ID040,Traction control fault,DTC failed,The engine control unit has detected a DTC fault.,"DTC may not be available or may be restricted. You can continue to ride. Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,dtc.jpg,41
ID041,Traction control fault,DTC restricted,The engine control unit has detected a DTC fault.,"DTC and other dynamic control functions are restricted. You can continue to ride. Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,dtc.jpg,42
ID050,ABS Pro fault,ABS Pro failed,Monitoring of the ABS Pro function has detected a fault.,ABS Pro is not available. ABS is still available for straight-ahead braking. You can continue to ride. Have the fault rectified as quickly as possible.,warning,abs.jpg,43
ID051,ABS fault,ABS failed,The ABS control unit has detected a fault. The ABS function is not available.,"You can continue to ride. Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,abs.jpg,43
ID052,ABS fault,ABS fault,The ABS control unit has detected a fault. The ABS function is available subject to restrictions.,"You can continue to ride. Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,abs.jpg,43
ID060,Remote key fault,Radio-operated key out of range,Communication between radio-operated key and propulsion-unit electronics is disrupted.,Check or replace the radio-operated key battery. Use the spare key to continue. Have the faulty radio-operated key replaced by an authorised BMW Motorrad retailer.,warning,warning.jpg,44
ID061,Remote key fault,Keyless Ride failed,The Keyless Ride control unit has diagnosed a communication fault.,"Do not switch off the motor. Proceed directly to an authorised workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,44
ID070;ID071,Remote key battery,Replacing battery of radio-operated key,The integral battery in the radio-operated key has lost a significant proportion of its original capacity.,Replace the battery of the radio-operated key.,warning,warning.jpg,44
ID080,Alarm system battery fault,Anti-theft alarm battery flat,The integral battery in the anti-theft alarm has lost its entire original capacity. There is no assurance that the DWA anti-theft alarm will be operational if the vehicle battery is disconnected.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,45
ID081,Alarm system battery low,Anti-theft alarm battery weak,The integral battery in the anti-theft alarm has lost a significant proportion of its original capacity.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,45
ID082,Alarm system fault,DWA failed,The DWA control unit has diagnosed a communication fault.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer. DWA can no longer be activated or deactivated; false alarm possible.",warning,warning.jpg,45
ID090,Service due soon,Service due,Service is due because of either distance covered or time expired.,"Have the vehicle serviced regularly by a specialist workshop, preferably an authorised BMW Motorrad retailer.",info,info.jpg,45
ID091,Service overdue,Service-due date has passed,Service is overdue because of driving performance or the date.,"Have the vehicle serviced regularly by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,service.jpg,46
ID101;ID102;ID110;ID112;ID113;ID114;ID115;ID116;ID121;ID122;ID123;ID124;ID125;ID130;ID131,Bulb fault,Bulb faulty,"A vehicle bulb or LED light source is faulty. The faulty bulb is displayed, such as additional headlight, side light, low-beam, high-beam, daytime riding light, turn indicator, rear light, brake light, number plate light or active headlight.","Visually inspect which bulb is defective. Have LED light sources replaced as complete units by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,46
ID117;ID126,Front light fault / Rear light fault,Light control failed,The vehicle lighting has partially or completely failed. Light control has diagnosed a communication fault.,"Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,47
ID140,Engine fault,"Fault, engine control",Communication with the engine control unit has failed.,"You can continue to ride. Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,engine.jpg,47
ID141,Danger! Engine,Serious fault in engine control,The engine control unit has diagnosed a fault that can lead to serious consequential faults. The engine is in emergency-operation mode.,"Ride slowly, avoid accelerating sharply and overtaking. Continuing is possible but not recommended. Have the vehicle picked up if possible and the fault rectified quickly.",critical,stop.jpg,47
ID150,Drive fault,Drive malfunction,The motor control unit has diagnosed a fault that affects pollutant emissions and/or reduces power.,"Have the fault rectified by a specialist workshop, preferably an authorised BMW Motorrad retailer. You can continue riding, but pollutant emissions are higher than threshold values.",warning,engine.jpg,48
ID152,Drive fault,Serious drive malfunction,The engine control unit has diagnosed a fault that can lead to damage to the exhaust system.,Have the fault rectified as quickly as possible. Continuing is possible but not recommended.,critical,engine.jpg,48
ID160,Drop sensor fault,Drop sensor defective,The drop sensor is not available.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,49
ID161,Fall sensor triggered,Fall sensor tripped,The fall sensor has detected a fall and has cut out the motor.,Hold the vehicle upright and check it for damage. Switch the ignition off and on again or switch the kill switch on and off again.,warning,warning.jpg,49
ID170,Side stand fault,"Malfunction, side stand monitor",Side-stand switch or wiring damaged. The motor will switch off when speed drops below the minimum threshold and you cannot resume your journey.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,49
ID180,Emergency call syst. fault,Emergency call function failed,The emergency call function has failed.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,49
ID182,Emergency call syst. fault,Emergency call function restricted,The emergency call function is restricted.,"Emergency call may not be fully available. Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,49
ID211,Cruise control fault,Cruise control failed,Cruise control has failed.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,50
ID250,Vehicle voltage fault,Vehicle battery overheated,The vehicle battery is overheated.,"Stop carefully, switch off the engine and wait for the battery to cool. Have the fault rectified by a specialist workshop.",warning,warning.jpg,50
ID251,Danger! Vehicle voltage,Serious fault in the power supply,There is a serious fault in the power supply.,Do not continue riding. Notify the breakdown service.,critical,stop.jpg,50
ID260,Vehicle voltage critical,Voltage of the vehicle electrical system critical,"The vehicle electrical system voltage is critical. Too many consumers may be switched on, or the battery may not be charging adequately.","Switch off unnecessary consumers. If the warning persists, have the vehicle checked by a specialist workshop.",warning,warning.jpg,51
ID270,Generator fault,Battery voltage critical,"Battery is not being charged. Alternator malfunction, battery fault or fuse has blown.","Have the fault rectified as quickly as possible by a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,51
ID290,Fault: Engine too hot,Engine temperature high,The temperature sensor has detected a high temperature in the motor.,"If possible, ride in the part-load range to cool down the motor. If the motor temperature is frequently too high, have the fault rectified as soon as possible.",warning,engine.jpg,52
ID291,Danger! Engine too hot,Engine overheated,Engine is overheated.,"Carefully bring the vehicle to a stop, switch off the engine and wait until it has cooled down. If overheating is frequent, have the fault rectified quickly.",critical,stop.jpg,52
ID301,Tyre pressure,Tyre pressure close to limit of permitted tolerance,Measured tyre pressure is close to the limit of permitted tolerance.,"Correct tyre pressure. Before adjusting, read the information on temperature compensation and pressure adaptation. Find correct pressures in the rider manual or tyre pressure table.",warning,warning.jpg,53
ID302;ID303,RDC danger,Tyre pressure outside permitted tolerance,Measured tyre pressure is outside permitted tolerance.,"Adapt riding style. Check the tyre for damage and whether the vehicle can be ridden. Correct tyre pressure if safe. If unsure, do not continue and notify breakdown service.",critical,stop.jpg,53
ID304,RDC fault,Tyre pressure monitoring (RDC) failed,The tyre pressure control (RDC) control unit has diagnosed a communication fault.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,54
ID310,RDC battery fault,Battery for tyre pressure sensor weak,The tyre pressure sensor battery no longer has full capacity.,"Consult a specialist workshop, preferably an authorised BMW Motorrad retailer.",warning,warning.jpg,54
IDFUEL,Reserve fuel,Fuel down to reserve,Fuel is down to reserve. The distance counter for reserve fuel KM R or MI R is displayed.,Refuel as soon as possible.,warning,warning.jpg,55
ID340,Anti-theft protection,Protection against theft,The alarm has been triggered while the motorcycle was unattended.,Check the vehicle for tampering or damage.,warning,warning.jpg,55
