code,ai_research,sources
ID000,"Cold-weather warning, not a mechanical fault. Confirm ambient temperature and road conditions. Black ice can form on bridges and shaded roads even when the displayed temperature is slightly above freezing. Reduce speed, avoid abrupt braking/steering inputs, and treat this as a rider-safety warning rather than a workshop fault.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
IDABS,"ABS self-diagnosis normally clears after the motorcycle rolls forward and wheel-speed signals are received. If it does not clear after riding a short distance, check for recent wheel/tyre work, damaged or dirty wheel-speed sensor areas, low battery voltage, or wiring issues before dealer diagnostics.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
IDDTC,"DTC self-diagnosis normally clears once the bike reaches the required minimum speed with the engine running. If it stays active, first check that nothing is stored under the seat where the angular-rate sensor can be affected, then inspect for wheel-speed sensor or battery-voltage related issues.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
IDDTC2,"DTC intervention means the system reduced torque after detecting rear-wheel instability. This is often caused by slippery road surfaces, abrupt throttle, poor tyres, or uneven surfaces. If it happens repeatedly in normal riding, check tyres, tyre pressures, and wheel-speed sensor condition.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID030,"Start with the simple immobiliser causes: separate the active key from other transponder keys, try the spare key, check the remote/key battery if applicable, and cycle ignition. If the fault follows one key only, the key may need replacement or reprogramming by BMW Motorrad.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID040,"DTC failed requires care because traction control may be unavailable. Check for loose items under the seat, recent work around sensors or wheels, damaged wheel-speed sensor wiring, and battery-voltage faults. Ride conservatively and arrange BMW diagnostics to read stored faults.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID041,"DTC restricted means dynamic control functions may work only partially. Check for low voltage, sensor obstruction or damage, tyre/wheel changes, and anything stored near the angular-rate sensor. Avoid aggressive throttle until the fault is diagnosed.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID050,"ABS Pro uses additional sensor inputs compared with straight-line ABS. If ABS Pro fails but base ABS remains, check for low battery voltage, wheel-speed sensor issues, and lean-angle/angular-rate sensor related faults. Use extra caution in corner braking and have BMW Motorrad diagnose it.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID051,"ABS failed means ABS is not available. Check the obvious items first: battery health/voltage, wheel-speed sensor area, sensor wiring after tyre or brake work, brake fluid condition, and fuses. Do not rely on ABS intervention until repaired.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID052,"ABS restricted means ABS may still operate but not fully. Check wheel-speed sensor cleanliness/clearance, recent wheel changes, battery voltage, and brake system condition. A BMW scan tool or dealer diagnosis is the right next step if it does not clear.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
